# Region type : patch outlet
# Faces  :   1804
# Area   :   7.100642e-03
# Time       	sum(phi)
5e-05        	2.836258e-02
0.0001       	2.836261e-02
0.00015      	2.836262e-02
0.0002       	2.836262e-02
0.00025      	2.836262e-02
0.0003       	2.836262e-02
0.00035      	2.836262e-02
0.0004       	2.836262e-02
0.00045      	2.836262e-02
0.0005       	2.836262e-02
0.00055      	2.836262e-02
0.0006       	2.836262e-02
0.00065      	2.836262e-02
0.0007       	2.836262e-02
0.00075      	2.836262e-02
0.0008       	2.836262e-02
0.00085      	2.836262e-02
0.0009       	2.836261e-02
0.00095      	2.836261e-02
0.001        	2.836262e-02
0.00105      	2.836261e-02
0.0011       	2.836261e-02
0.00115      	2.836262e-02
0.0012       	2.836262e-02
0.00125      	2.836262e-02
0.0013       	2.836261e-02
0.00135      	2.836261e-02
0.0014       	2.836261e-02
0.00145      	2.836261e-02
0.0015       	2.836261e-02
0.00155      	2.836261e-02
0.0016       	2.836261e-02
0.00165      	2.836261e-02
0.0017       	2.836261e-02
0.00175      	2.836261e-02
0.0018       	2.836262e-02
0.00185      	2.836262e-02
0.0019       	2.836262e-02
0.00195      	2.836262e-02
0.002        	2.836262e-02
0.00205      	2.836262e-02
0.0021       	2.836262e-02
0.00215      	2.836262e-02
0.0022       	2.836262e-02
0.00225      	2.836262e-02
0.0023       	2.836262e-02
0.00235      	2.836262e-02
0.0024       	2.836261e-02
0.00245      	2.836262e-02
0.0025       	2.836262e-02
0.00255      	2.836263e-02
0.0026       	2.836262e-02
0.00265      	2.836261e-02
0.0027       	2.836262e-02
0.00275      	2.836262e-02
0.0028       	2.836262e-02
0.00285      	2.836262e-02
0.0029       	2.836262e-02
0.00295      	2.836262e-02
0.003        	2.836262e-02
0.00305      	2.836262e-02
0.0031       	2.836262e-02
0.00315      	2.836261e-02
0.0032       	2.836262e-02
0.00325      	2.836262e-02
0.0033       	2.836261e-02
0.00335      	2.836262e-02
0.0034       	2.836262e-02
0.00345      	2.836261e-02
0.0035       	2.836262e-02
0.00355      	2.836262e-02
0.0036       	2.836261e-02
0.00365      	2.836262e-02
0.0037       	2.836262e-02
0.00375      	2.836261e-02
0.0038       	2.836261e-02
0.00385      	2.836262e-02
0.0039       	2.836262e-02
0.00395      	2.836262e-02
0.004        	2.836262e-02
0.00405      	2.836262e-02
0.0041       	2.836261e-02
0.00415      	2.836262e-02
0.0042       	2.836261e-02
0.00425      	2.836262e-02
0.0043       	2.836261e-02
0.00435      	2.836262e-02
0.0044       	2.836262e-02
0.00445      	2.836262e-02
0.0045       	2.836262e-02
0.00455      	2.836262e-02
0.0046       	2.836262e-02
0.00465      	2.836262e-02
0.0047       	2.836262e-02
0.00475      	2.836262e-02
0.0048       	2.836262e-02
0.00485      	2.836262e-02
0.0049       	2.836262e-02
0.00495      	2.836262e-02
0.005        	2.836262e-02
0.00505      	2.836262e-02
0.0051       	2.836262e-02
0.00515      	2.836262e-02
0.0052       	2.836262e-02
0.00525      	2.836262e-02
0.0053       	2.836262e-02
0.00535      	2.836262e-02
0.0054       	2.836262e-02
0.00545      	2.836262e-02
0.0055       	2.836262e-02
0.00555      	2.836262e-02
0.0056       	2.836262e-02
0.00565      	2.836262e-02
0.0057       	2.836262e-02
0.00575      	2.836262e-02
0.0058       	2.836262e-02
0.00585      	2.836262e-02
0.0059       	2.836262e-02
0.00595      	2.836262e-02
0.006        	2.836262e-02
0.00605      	2.836262e-02
0.0061       	2.836262e-02
0.00615      	2.836262e-02
0.0062       	2.836262e-02
0.00625      	2.836262e-02
0.0063       	2.836262e-02
0.00635      	2.836262e-02
0.0064       	2.836262e-02
0.00645      	2.836262e-02
